"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct","fips","cases","deaths","votes_rep","votes_dem","total_votes","rep_win","rep_rate","infection_rate","death_rate"
"Greene","AL","12.7",41076,10,44.6,54.2,18,7851,48.1,51.9,2.1,22,22.9,17.6,79.2,1063,2309,54,875,3884,4775,0,183.246073298429,294.102662081264,6.87810470003821
"Hale","AL","15.8",52600,7,59.2,49,7.1,14819,47.7,52.3,2.8,23.4,19.4,38.3,59,1065,5728,110,3190,4687,7922,0,402.676091895986,386.530805047574,7.42290302989406
"Henry","AL","21.6",71087,4.9,64.4,44.8,9,17165,47.7,52.3,2.3,20.9,22.4,70,26.6,1067,5866,79,6607,2606,9298,1,710.582921058292,341.741916690941,4.60238858141567
"Houston","AL","22.2",72084,5.2,60.8,41.2,11.4,106355,48.2,51.8,1.9,23.2,17.8,67.4,27.3,1069,32660,531,32618,12917,46173,1,706.430164814935,307.084763292746,4.99271308354097
"Jackson","AL","16.1",60681,5.7,62,42.7,10.7,52548,49.4,50.6,1.6,21.1,20.1,90.4,3.5,1071,18379,256,19670,3717,23636,1,832.205110847859,349.756413184136,4.87173631727183
"Jefferson","AL","34.7",85794,6.1,67.4,35.6,9.1,672550,47.5,52.5,1.8,23,15.9,50.9,42.9,1073,238727,2535,138843,181688,325848,0,426.097444207115,354.957995688053,3.76923648799346
"Lamar","AL","10.0",55331,4.9,60.3,44.9,7.1,13929,49.6,50.4,2.6,21.7,21.8,86.9,11.1,1075,4737,73,6174,978,7193,1,858.334491867093,340.08184363558,5.24086438365999
"Lauderdale","AL","25.5",69687,3.8,70.8,36.3,9.8,93342,48.3,51.7,2.1,19.9,19.8,85,10,1077,30406,420,31721,11915,44339,1,715.41983355511,325.748323369973,4.49958218165456
"Lawrence","AL","15.3",66836,3,67.6,36.9,9.2,33089,48.4,51.6,1.9,21.9,18.1,77.1,10.4,1079,9389,181,12322,3562,16031,1,768.635768199114,283.749886669286,5.47009580223035
"Lee","AL","38.6",79097,4.3,75.8,27.7,8.1,172223,49.4,50.6,1.3,21.3,12.3,69.3,22.4,1081,47646,372,42221,27860,71449,1,590.924995451301,276.652944147994,2.15999024520534
"Limestone","AL","28.4",88207,4.5,77.1,29.4,8.1,101217,50.1,49.9,1.3,22.4,15.1,77.4,13.1,1083,32150,320,34640,13672,49235,1,703.564537422565,317.634389480028,3.16152424987897
"Lowndes","AL","15.1",52620,8.9,56.2,47.5,9.2,10334,48.1,51.9,1.9,22.6,19,24.8,74.8,1085,3370,80,1836,4972,6835,0,268.61741038771,326.107993032708,7.74143603638475
"Macon","AL","21.2",56751,11,60.8,46.5,9.7,19490,46,54,1.7,17.3,20.3,16.6,81,1087,5293,90,1541,7108,8723,0,176.659406167603,271.575166752181,4.61775269368907
"Madison","AL","44.3",96356,4.4,77.3,29.5,8.1,382149,49.2,50.8,1.5,21.9,14.9,66.7,24.3,1089,116086,1060,102780,87286,194767,1,527.707465843803,303.771565541189,2.77378718771997
"Marengo","AL","19.7",59538,5.4,59.1,44.9,10.3,19397,48.1,51.9,2.4,22.7,19.7,45.4,51.3,1091,6093,116,5343,5488,10900,0,490.183486238532,314.120740320668,5.98030623292262
"Marion","AL","12.6",56740,5.9,60.5,43.3,11.6,29392,49.8,50.2,2.1,21,20.8,91.6,4,1093,10113,160,12205,1463,13807,1,883.97189831245,344.07321720196,5.44365813826892
"Marshall","AL","21.4",72164,3.9,61.9,39.9,11.9,97179,49.7,50.3,1.6,25.4,16.9,88.8,2.9,1095,32967,410,33191,5943,39655,1,836.994073887278,339.239959250455,4.21901851223001
"Mobile","AL","23.9",69856,5.8,60.7,39.4,11.4,414620,47.9,52.1,1.6,23.6,16.3,57.4,36.1,1097,134986,1802,101243,79474,183164,1,552.745080911096,325.565578119724,4.34614828035309
"Monroe","AL","12.9",53865,11.9,54.3,46.1,12.4,20115,47.8,52.2,1.8,21.6,20.3,54.1,42.2,1099,6742,88,6147,4455,10668,1,576.209223847019,335.172756649267,4.37484464330102
"Montgomery","AL","33.4",73923,6.6,62.9,40.2,10.4,229072,47.3,52.7,1.8,23.7,15.1,33.9,58.5,1101,73840,1010,33311,64529,99139,0,336.002985706937,322.344066494377,4.40909408395614
"Morgan","AL","22.8",76093,4.7,66.9,37,10.8,122608,49.5,50.5,2,23.2,17.5,77.6,13.1,1103,46540,551,39664,13234,53722,1,738.319496668032,379.58371395015,4.49399712906173
"Perry","AL","18.9",39025,19.5,47.3,54.1,9.2,8702,46.1,53.9,1.6,21.2,19.6,29.5,70.1,1105,2673,49,1339,3860,5230,0,256.022944550669,307.170765341301,5.63088945070099
"Pickens","AL","13.3",60648,7,60.3,47.8,9.1,19240,47.8,52.2,2.5,19.1,18.9,57.2,40.1,1107,6339,122,5594,4022,9668,1,578.609846917666,329.469854469855,6.34095634095634
"Pike","AL","27.8",65204,4.4,68.3,35.3,8.8,33176,48,52,2,19.3,15.2,57.2,36.5,1109,9264,142,8042,5636,13841,1,581.027382414565,279.238003375934,4.28020255606463
"Randolph","AL","16.2",63821,4,63.9,41.7,9.6,21984,48.9,51.1,2.2,21.5,20.9,77.1,18.6,1111,6527,79,8559,2203,10837,1,789.794223493587,296.897743813683,3.59352256186317
"Russell","AL","17.3",59382,6.4,60.7,43.5,10.6,58695,48.3,51.7,1.1,24,14.4,47.2,44.7,1113,13030,100,9864,11228,21329,0,462.468939003235,221.995059204362,1.70372263395519
"Shelby","AL","44.8",109244,3.3,80.3,25.6,6.5,220780,48.6,51.4,1.3,23.4,15.6,78.7,12.6,1117,78112,482,79700,33268,114950,1,693.344932579382,353.800163058248,2.18316876528671
"Sumter","AL","19.5",43404,7,49.9,53.6,11,12482,46.1,53.9,1.5,19.4,18.8,25.7,71.3,1119,3176,55,1598,4648,6291,0,254.013670322683,254.446402820061,4.40634513699728
"Talladega","AL","15.9",61136,7.9,62.7,43.8,9.8,81850,48.4,51.6,1.3,21,17.8,63,32.2,1121,28602,397,22235,13138,35663,1,623.475310545944,349.44410507025,4.85033598045205
"Tallapoosa","AL","18.1",64860,9.9,61.4,45.8,9.1,41284,48.9,51.1,2.1,20.8,21.5,69.3,27.3,1123,14611,253,14963,5859,20991,1,712.82930779858,353.91434938475,6.12828214320318
"Tuscaloosa","AL","30.6",75800,5.3,73,31.8,7,223945,48.4,51.6,1.1,21.2,13.4,62.5,32.2,1125,70976,854,51117,37765,90172,1,566.883289712993,316.934961709348,3.81343633481435
"Walker","AL","14.1",63117,7,64.6,40.2,12,65194,49.5,50.5,2.2,22.4,19.2,88.6,5.9,1127,24154,480,26002,4834,31170,1,834.199550850176,370.494217259257,7.36264073380986
"Washington","AL","13.6",72183,6.4,62.5,42.6,11.3,15574,51.5,48.5,0.9,20.8,20.6,65.8,23.8,1129,4397,61,6564,2258,8876,1,739.522307345651,282.329523564916,3.91678438423013
"Wilcox","AL","11.0",49653,14.1,43.5,58.8,10.3,10686,46.4,53.6,1.9,23.7,19.8,27.2,70.8,1131,3659,48,1833,4048,5903,0,310.52007453837,342.410630731799,4.49185850645705
"Winston","AL","13.5",61741,4.9,59.6,46.1,11.3,23650,50,50,1.5,20.4,21.5,94.1,0.9,1133,9427,141,10195,974,11284,1,903.491669620702,398.604651162791,5.96194503171247
"Arkansas","AR","16.6",70145,4.3,60.1,46.2,6,17273,49.2,50.8,1.8,23.3,19.3,71.2,25.7,5001,7009,95,4304,1818,6292,1,684.043229497775,405.777803508366,5.49991315926591
"Ashley","AR","12.0",64037,5,50.3,54.7,8.4,19362,48.6,51.4,2.8,22.9,20.5,71.6,25.1,5003,6249,82,5548,2125,7926,1,699.974766590967,322.74558413387,4.23509967978515
"Baxter","AR","18.6",63443,5.4,58.4,56.7,6.2,41476,48.9,51.1,3.1,17.8,30.5,94.3,0.3,5005,10722,283,15836,4635,21007,1,753.843956776313,258.510946089305,6.82322306876266
"Benton","AR","34.6",105776,3,69.5,30.4,9.3,278774,50.1,49.9,1.4,26.3,13.3,77.3,1.8,5007,77394,1002,73965,42249,119912,1,616.82734004937,277.622733827401,3.59430936887945
"Boone","AR","17.8",62639,4.6,60,48.2,7,37445,49.5,50.5,2.8,22.9,20.6,95.4,0.2,5009,11277,203,13652,3064,17114,1,797.709477620661,301.161703832287,5.42128455067432
"Bradley","AR","12.5",55714,5.4,49.6,51.7,11.3,10597,47.4,52.6,2.2,24.7,18,63.5,26.3,5011,3595,57,2335,1214,3654,1,639.025725232622,339.246956685854,5.37888081532509
"Calhoun","AR","12.2",64400,8.7,51.5,51.1,8.6,4811,50.9,49.1,1.2,19,20.4,74.9,22.2,5013,1194,14,1636,479,2182,1,749.770852428964,248.181251299106,2.90999792143006
"Carroll","AR","22.0",67648,4,54.4,49.3,12.5,28154,50.4,49.6,1.9,22,22.8,84.9,0.5,5015,7284,123,7424,4023,11797,1,629.3125370857,258.719897705477,4.36882858563614
"Chicot","AR","14.8",55064,14.1,39.7,61.9,10,10405,50.1,49.9,2.6,22.2,20.8,42.8,53.6,5017,3126,65,1752,2260,4103,0,427.004630757982,300.432484382508,6.24699663623258
"Clark","AR","27.9",60524,3.7,60,41.8,9,21569,47.4,52.6,1.7,19.2,16.2,69.9,24.4,5019,6412,92,4616,3438,8395,1,549.851101846337,297.278501553155,4.26538087069405
"Clay","AR","14.0",54134,6.4,54.2,55,7.6,14661,48.3,51.7,2.2,21.8,21.3,95,0.6,5021,5146,101,4086,962,5183,1,788.34651746093,350.999249710115,6.88902530523157
"Cleburne","AR","17.0",65804,6.3,57.8,55.8,7,24848,50,50,3.2,19.2,26.7,95.6,0.3,5023,8055,148,10328,1988,12680,1,814.511041009464,324.170959433355,5.95621377978107
"Cleveland","AR","16.7",67030,2,59.9,45,5.1,7632,46.4,53.6,2.1,20.6,20.5,84.2,14.5,5025,2677,42,2867,651,3600,1,796.388888888889,350.759958071279,5.50314465408805
"Columbia","AR","20.2",67600,4.4,58.5,45.7,6.9,22947,48.6,51.4,2.8,21.1,16.7,61.6,35.8,5027,6794,105,5500,2814,8616,1,638.347260909935,296.07356081405,4.57576153745588
"Conway","AR","18.7",66002,6.7,52.8,53.6,6.5,20687,49.6,50.4,2.6,22.8,19.2,84.3,10.4,5029,6606,84,5694,2615,8685,1,655.613126079447,319.330980809204,4.06052110020786
"Craighead","AR","28.9",74762,5.7,61.1,41.7,8.1,109875,48.8,51.2,1.6,25.1,13.6,76.5,15.5,5031,47352,388,25558,11921,38511,1,663.654540261224,430.962457337884,3.53128555176337
"Crawford","AR","19.1",68549,4.7,56.8,47.4,8.8,60483,49.4,50.6,1.4,24.6,16.7,87.6,1.6,5033,18657,295,18607,4959,24091,1,772.363123158026,308.466841922524,4.87740356794471
"Crittenden","AR","17.5",63460,9.9,49.4,49.1,8.8,48338,47.8,52.2,1.3,27.3,13.8,42,49.5,5035,16702,246,7333,8514,16367,0,448.035681554347,345.525259630105,5.08916380487401
"Cross","AR","14.1",64227,8.2,48.9,51.6,8.6,16935,48.3,51.7,1.3,23.7,18.5,72.9,15.7,5037,5745,104,4946,1772,6942,1,712.474791126476,339.238263950399,6.14112784174786
"Dallas","AR","11.5",51461,8.2,52.7,54.4,8.1,6645,48.4,51.6,2.8,21.6,23.4,53.5,43.3,5039,2071,41,1573,963,2649,1,593.808984522461,311.662904439428,6.17005267118134
"Desha","AR","13.7",49078,5.7,48.1,53,9.3,11530,46.6,53.4,2.1,25.8,18.8,48.8,48.2,5041,3656,44,1921,2016,4164,0,461.33525456292,317.085862966175,3.81613183000867
"Drew","AR","23.7",62858,2.5,59,46.8,4.8,17511,48.2,51.8,1.5,21.8,17.7,68.4,28.9,5043,5638,84,4349,2426,6908,1,629.559930515344,321.969048026954,4.79698475244132
"Faulkner","AR","32.9",74413,3.3,68.4,34,8,123191,48.9,51.1,1.1,23.1,12.5,81.2,11.8,5045,42997,358,34421,18347,54428,1,632.413463658411,349.027120487698,2.9060564489289
"Franklin","AR","10.6",55015,5.1,53.1,53.6,6.4,17159,49.5,50.5,2.7,23.3,19.5,91.8,0.8,5047,4488,82,5677,1300,7129,1,796.324870248282,261.553703595781,4.7788332653418
"Fulton","AR","11.4",50988,5.9,48,56.3,10.4,12072,49,51,2.5,21.2,25.6,93.6,0.3,5049,3108,99,3961,1035,5119,1,773.783942176206,257.455268389662,8.20079522862823
"Garland","AR","23.8",68248,6.2,56.9,52,9.7,99694,48.3,51.7,2.5,20.2,23.4,85,8.3,5051,27083,581,29069,14045,44199,1,657.684562999163,271.661283527594,5.82783316949867
"Grant","AR","18.0",80956,3.4,66.1,45.8,6.1,17912,50.1,49.9,1.1,22.6,17.8,93.1,2.2,5053,5252,65,6794,1268,8200,1,828.536585365854,293.211255024565,3.6288521661456
"Greene","AR","16.3",62335,7.4,55.6,49.3,7.8,45665,49.5,50.5,1.6,24.6,15.8,92.7,2.4,5055,19801,201,12670,3058,16100,1,786.95652173913,433.614365487792,4.40162049709843
"Hempstead","AR","16.0",59074,4.8,52.2,51.5,10.1,20352,46.9,53.1,0.9,25.5,17.8,55.4,30.3,5057,5638,83,4470,2138,6848,1,652.745327102804,277.024371069182,4.07822327044025
"Howard","AR","14.3",58542,5.7,51.8,51.5,10.8,12894,48,52,1.7,26.4,17.5,65.6,20.5,5061,4657,64,3367,1340,4834,1,696.524617294166,361.175740654568,4.96354893749031
"Independence","AR","16.5",64737,5.4,54.3,46.6,9.2,37796,49.6,50.4,2.4,23.8,17,86.7,1.9,5063,12797,231,11250,2806,14512,1,775.220507166483,338.580802201291,6.11175785797439
"Izard","AR","17.0",59246,6.9,52.2,56.1,6.1,13653,52.4,47.6,2.2,18.4,24.7,90,0.9,5065,4712,78,4631,1021,5810,1,797.074010327022,345.125613418296,5.71303010327401
"Jackson","AR","12.7",54671,10.3,43.3,58.4,9.8,16878,49.7,50.3,1.8,20,17.7,76.6,10.9,5067,7280,76,3593,1365,5091,1,705.755254370458,431.330726389383,4.50290318758147
"Jefferson","AR","19.5",60469,9.3,58.3,49.8,6.3,68199,49.7,50.3,1.9,22,17.5,39,55.8,5069,22364,316,9521,14981,25158,0,378.448207329676,327.922696813736,4.63349902491239
"Johnson","AR","16.0",57149,3.8,56.8,48.8,7.8,25853,49.8,50.2,1.6,24.6,16.2,87.4,1.6,5071,8197,103,6938,2283,9498,1,730.469572541588,317.061849688624,3.98406374501992
"Lafayette","AR","10.7",49938,8,44,58.6,10,6373,51.4,48.6,2,19.4,23.6,59.2,35.6,5073,1507,30,1757,839,2679,1,655.841731989548,236.466342381924,4.70735917150479
"Lawrence","AR","14.9",58053,7.2,52.3,53.5,7.4,16292,50.1,49.9,2.7,22.4,18.8,94,1.3,5075,6526,90,4569,1080,5857,1,780.092197370668,400.564694328505,5.5241836484164
"Lee","AR","9.8",54648,14.3,43.1,59.8,8.7,8832,56.9,43.1,2.6,18.7,19.2,42.2,54.9,5077,3344,68,1286,1423,2848,0,451.544943820225,378.623188405797,7.69927536231884
"Lincoln","AR","8.7",64155,3.1,62.5,44,7.5,13092,63.2,36.8,1.5,16.6,15.5,65.2,29.9,5079,5502,70,2729,1032,3875,1,704.258064516129,420.25664527956,5.34677665750076
"Logan","AR","12.6",58847,4.8,59,46.9,7.2,21299,49.3,50.7,1.7,21.8,19.6,89.7,1.4,5083,6069,91,6441,1544,8225,1,783.100303951368,284.942955068313,4.27250105638762
"Lonoke","AR","20.3",80070,5.2,68.2,38.3,7,73824,49.5,50.5,1.6,25.6,13.7,87.7,5.6,5085,23994,270,22884,6686,30662,1,746.330963407475,325.016254876463,3.65734720416125
"Madison","AR","13.5",65885,5.1,52.6,49.6,9.5,16496,51.2,48.8,1.7,23.2,19.1,87.2,0.1,5087,4857,69,5658,1563,7351,1,769.691198476398,294.435014548982,4.18283220174588
"Marion","AR","15.1",53025,7.7,55.5,58.3,6.8,16750,49.3,50.7,2,18.4,27.8,95.4,0.8,5089,4100,95,5783,1531,7503,1,770.758363321338,244.776119402985,5.67164179104478
"Miller","AR","16.9",63639,7.5,52,51,9.8,42875,49.6,50.4,1.1,23.8,16.5,69.4,25.5,5091,11628,210,11920,4245,16529,1,721.156754794603,271.206997084548,4.89795918367347
"Mississippi","AR","14.2",63932,9.6,52.9,49,8.3,41061,49.1,50.9,1.7,26.2,14.6,59.1,34.8,5093,16411,235,7296,4558,12342,1,591.152163344677,399.673656267504,5.72319232361608
"Monroe","AR","13.5",54921,10.3,50.3,56.7,9.2,6903,48.1,51.9,3.5,21.6,22.9,54.2,42.9,5095,2309,39,1545,1147,2816,1,548.650568181818,334.492249746487,5.64971751412429
"Montgomery","AR","15.3",54422,8.7,52.3,55.5,10.9,8525,50.5,49.5,2.4,18.4,26.8,92.2,0.5,5097,1770,67,3046,731,3873,1,786.470436354247,207.624633431085,7.85923753665689
"Nevada","AR","11.1",48701,7.4,47.6,60.7,5,8340,49.8,50.2,3.3,22.7,20.5,62.8,35.3,5099,2770,47,2133,1076,3358,1,635.199523525908,332.134292565947,5.63549160671463
"Newton","AR","16.4",55070,4.6,60.1,51.1,5.7,7343,49.8,50.2,1.6,20.1,26.5,92.6,0.1,5101,2051,54,3192,709,3998,1,798.3991995998,279.313632030505,7.35394253030097
"Ouachita","AR","13.3",54988,6.3,52.5,55.7,6.2,22858,48.9,51.1,2.6,22.7,20.4,56.7,42.1,5103,6776,126,5294,3995,9629,1,549.79748675875,296.438883541867,5.51229328900166
"Perry","AR","17.5",63794,4.3,60.7,49.8,3.4,10056,50.8,49.2,2.2,23.1,19.9,92,2.5,5105,3017,43,3479,1012,4627,1,751.891074130106,300.019888623707,4.27605409705648
"Phillips","AR","14.3",48536,15.3,42.5,62.1,7.3,16923,46.5,53.5,2,26.5,18.9,34.7,63.8,5107,5887,106,2417,3623,6242,0,387.215636014098,347.869763044378,6.26366483484016
"Pike","AR","19.5",63192,3.7,59.2,47.3,8.4,10234,49.5,50.5,1.9,21.7,20.1,88.8,4,5109,2964,49,3519,644,4246,1,828.780028261894,289.622825874536,4.78796169630643
"Poinsett","AR","11.5",54562,4.2,44.1,54.7,10.5,23212,49,51,2.4,24.1,17.9,86.3,4.1,5111,10113,139,5918,1424,7521,1,786.86344900944,435.679820782354,5.9882819231432
"Polk","AR","15.5",63826,10.4,53.8,53.2,10.2,19476,49,51,2.2,23.1,22.6,89.8,0.4,5113,4652,160,7035,1246,8490,1,828.621908127208,238.858081741631,8.2152392688437
"Pope","AR","23.2",68112,5.9,59.9,44.4,8.6,63234,49.6,50.4,2.1,22.9,15.4,87.6,2.5,5115,20964,230,18081,5772,24432,1,740.054027504912,331.530505740583,3.63728373976026
"Prairie","AR","15.3",63372,6,58.8,46.5,6.9,8306,50.5,49.5,2.3,21,23.3,85.6,11,5117,2416,46,2786,654,3495,1,797.138769670958,290.874066939562,5.53816518179629
"Pulaski","AR","36.3",83568,5.3,63.4,41.1,8.5,397931,47.9,52.1,2.1,23.4,15.6,53.7,37.3,5119,127945,1322,63687,101947,169956,0,374.726399774059,321.525591120069,3.32218399672305
"Randolph","AR","16.1",58952,7.3,50.1,56.2,6.5,18442,50.6,49.4,2.2,24.1,19.5,91.2,1,5121,6456,107,5355,1215,6812,1,786.112742219612,350.070491269927,5.80197375555796
"Saline","AR","27.9",83811,3.8,72.2,36.7,6,122308,49.1,50.9,1.6,23.4,17.8,86,8.1,5125,37142,395,39556,16060,56959,1,694.464439333556,303.675965595055,3.2295516237695
"Scott","AR","10.9",54091,5.9,52.8,50.8,9,9928,53.4,46.6,1.4,23.6,20.2,85.7,2.9,5127,2852,49,2962,483,3551,1,834.131230639257,287.26833199033,4.93553585817889
"Searcy","AR","15.3",49687,4.3,51.1,58,5.7,7872,50.7,49.3,2.7,20.1,25.2,90,0.4,5129,2562,53,3365,588,4019,1,837.272953471013,325.457317073171,6.73272357723577
"Sebastian","AR","24.0",73995,5,57.1,42.1,11.5,127941,49.2,50.8,2.1,24.1,16,71.6,6.1,5131,39338,587,31198,14487,47140,1,661.815867628341,307.4698493837,4.5880523053595
"Sevier","AR","11.6",66149,4.8,49,44.1,19.6,16074,50.1,49.9,0.9,28.8,13.9,60.7,2.9,5133,7125,84,3884,1116,5202,1,746.635909265667,443.262411347518,5.22583053378126
"Sharp","AR","11.1",49445,5.5,44.9,65.3,5.8,17243,49.5,50.5,3.4,21.1,25,93.4,1,5135,5714,123,5938,1398,7566,1,784.826856991805,331.380850200081,7.1333294670301
"Stone","AR","14.4",46572,7.5,40.1,66.7,8,12364,49.3,50.7,2.9,20,26.8,91.8,0.1,5137,3702,80,4616,1180,5938,1,777.366116537555,299.417664186347,6.47039792947266
"Union","AR","18.4",66920,4.4,59.1,46.5,7.4,39262,48.7,51.3,1.7,24.2,17.7,63.6,32.7,5139,11292,204,10478,5584,16607,1,630.938760763534,287.606336916102,5.19586368498803
"Washington","AR","33.7",81833,4.7,66.1,31.4,11.8,242793,50.3,49.7,1.2,24.3,11.7,72.8,3.4,5143,80947,709,47504,43824,94266,1,503.935671397959,333.399233091564,2.92018303657848
"White","AR","20.3",66420,5.4,58.4,44.9,9.3,77075,48.9,51.1,1.4,23.4,16,89.6,4.5,5145,27120,340,24182,5978,30885,1,782.969078840861,351.865066493675,4.41128770677911
"Woodruff","AR","16.1",62445,7.6,52.3,51.5,6.6,6333,48.4,51.6,2.4,21.7,23.6,69.6,28.4,5147,2274,33,1543,856,2476,1,623.182552504039,359.071530080531,5.21080056845097
